R,HR,BB,SO
685,130,519,1142
688,181,542,1384
745,212,416,1125
602,172,439,1230
598,148,411,1207
698,155,585,1245
745,171,562,1283
706,159,427,1204
796,176,531,1073
610,148,426,1535
648,112,422,1048
733,164,523,1221
649,138,476,1146
640,157,407,1183
614,151,533,1430
619,130,512,1384
650,144,466,1214
767,186,573,1178
610,140,417,1205
634,161,469,1330
618,146,467,1309
624,188,529,1353
629,107,469,1078
700,165,589,1171
730,176,462,1067
712,185,510,1123
656,161,464,1192
675,155,488,1224
